Property_ID,Location,Property_Type,Bedrooms,Bathrooms,Area_sqm,Developer,Status,Price_EGP,Sale_Date
71,Nasr City,Studio,2,1,85,Developer_9,Available,3130542.23,2024-11-05
72,Downtown Cairo,Duplex,4,2,287,Developer_3,Sold,16004303.6,2024-06-10
73,Nasr City,Retail Space,4,4,119,Developer_5,Sold,6258857.46,2024-10-18
74,Maadi,Studio,5,2,320,Developer_5,Sold,13360387.83,2024-08-29
75,Downtown Cairo,Retail Space,3,2,311,Developer_7,Sold,29868620.16,2024-12-12
76,Zayed City,Retail Space,2,4,220,Developer_6,Sold,14458951.06,2024-04-26
77,Heliopolis,Duplex,2,2,435,Developer_10,Sold,20002593.82,2024-11-02
78,New Cairo,Villa,1,2,279,Developer_1,Sold,32873381.49,2024-11-26
79,Nasr City,Studio,2,2,106,Developer_1,Sold,3776763.05,2024-08-13
80,6th October City,Villa,2,2,89,Developer_10,Sold,8161637.16,2024-09-28
81,Nasr City,Studio,2,1,126,Developer_7,Sold,4529992.3,2024-02-14
82,6th October City,Duplex,2,4,263,Developer_5,Available,12597975.86,2024-01-23
83,Heliopolis,Villa,5,3,446,Developer_9,Sold,43507976.05,2024-04-17
84,Heliopolis,Duplex,1,2,407,Developer_2,Sold,16380738.27,2024-08-06
85,Heliopolis,Retail Space,4,1,493,Developer_4,Sold,28510235.37,2024-03-25
86,6th October City,Retail Space,1,1,383,Developer_2,Sold,25704872.91,2024-09-16
87,Nasr City,Duplex,3,4,175,Developer_5,Sold,6421236.93,2024-07-16
88,Heliopolis,Studio,4,4,489,Developer_6,Sold,20716474.97,2024-01-05
89,Maadi,Retail Space,1,2,347,Developer_7,Sold,22187405.44,2024-11-18
90,Downtown Cairo,Studio,1,1,301,Developer_3,Sold,17631808.9,2024-04-05
91,6th October City,Villa,1,2,359,Developer_2,Sold,34375198.78,2024-01-31
92,6th October City,Commercial Office,1,4,447,Developer_9,Available,28924765.47,2024-03-24
93,Nasr City,Retail Space,1,3,351,Developer_7,Sold,23621797.65,2024-01-07
94,6th October City,Retail Space,1,1,52,Developer_5,Sold,3737277.92,2024-01-31
95,6th October City,Apartment,5,1,155,Developer_9,Sold,6528666.6,2024-09-16
96,Heliopolis,Studio,5,3,106,Developer_3,Sold,3660275.92,2024-03-25
97,Nasr City,Duplex,4,3,76,Developer_7,Sold,2704330.21,2024-12-24
98,Heliopolis,Apartment,2,3,246,Developer_7,Sold,8603704.5,2024-10-13
99,Downtown Cairo,Villa,1,4,230,Developer_3,Available,27520095.61,2024-01-25
100,Downtown Cairo,Apartment,2,4,172,Developer_2,Sold,10766402.7,2024-08-29
101,Heliopolis,Apartment,5,1,76,Developer_3,Sold,2675837.56,2024-11-01
102,Downtown Cairo,Commercial Office,3,4,214,Developer_3,Sold,17378925.57,2024-10-28
103,Nasr City,Commercial Office,1,3,169,Developer_5,Sold,9789772.76,2024-02-13
104,New Cairo,Apartment,4,4,138,Developer_5,Sold,6648709.95,2024-08-19
105,Heliopolis,Commercial Office,2,2,439,Developer_1,Sold,24798114.76,2024-05-26
106,Maadi,Commercial Office,4,2,371,Developer_9,Sold,19772091.35,2024-11-04
107,Maadi,Apartment,1,1,217,Developer_7,Sold,10375236.4,2024-10-10
108,6th October City,Studio,2,2,384,Developer_3,Sold,19248673.16,2024-05-06
109,Downtown Cairo,Commercial Office,2,4,379,Developer_5,Sold,29097263.29,2024-02-26
110,Maadi,Apartment,1,3,263,Developer_4,Sold,11403463.73,2024-09-25
111,6th October City,Studio,3,2,228,Developer_4,Sold,10863544.37,2024-11-27
112,New Cairo,Retail Space,1,4,85,Developer_3,Sold,7070262.98,2024-02-05
113,Nasr City,Commercial Office,4,3,335,Developer_7,Available,17521980.65,2024-06-20
114,Nasr City,Apartment,5,1,263,Developer_10,Available,9422159.86,2024-02-14
115,Nasr City,Commercial Office,5,3,307,Developer_3,Sold,17797200.28,2024-04-22
116,Maadi,Studio,5,2,403,Developer_10,Available,19664995.37,2024-11-27
117,New Cairo,Apartment,2,3,333,Developer_8,Sold,16861584.98,2024-10-28
118,Maadi,Studio,2,1,109,Developer_7,Sold,4345392.33,2024-03-22
119,Downtown Cairo,Retail Space,1,3,484,Developer_9,Sold,43535911.66,2024-01-18
120,Maadi,Duplex,2,4,326,Developer_3,Sold,13011290.62,2024-07-19
121,New Cairo,Villa,4,2,158,Developer_10,Sold,22132482.16,2024-03-29
122,New Cairo,Duplex,1,1,130,Developer_2,Available,8093596.39,2024-12-11
123,Downtown Cairo,Commercial Office,4,2,346,Developer_7,Available,24933006.34,2024-08-17
124,New Cairo,Studio,5,4,133,Developer_8,Sold,8023741.45,2024-04-25
125,New Cairo,Apartment,4,2,365,Developer_7,Sold,19379449.29,2024-05-07
126,Nasr City,Studio,5,2,231,Developer_8,Sold,9583148.98,2024-08-03
127,Downtown Cairo,Commercial Office,2,3,221,Developer_1,Sold,16961395.39,2024-04-04
128,Zayed City,Apartment,1,2,145,Developer_5,Sold,7815274.38,2024-06-30
129,Zayed City,Duplex,3,4,153,Developer_2,Sold,7769570.73,2024-10-30
130,New Cairo,Studio,4,4,92,Developer_8,Sold,4537396.1,2024-01-19
131,Zayed City,Villa,1,4,122,Developer_7,Available,12986706.52,2024-09-12
132,Zayed City,Retail Space,3,1,482,Developer_8,Sold,39995690.26,2024-05-07
133,New Cairo,Retail Space,1,1,308,Developer_5,Sold,26523832.21,2024-02-03
134,Zayed City,Commercial Office,3,4,287,Developer_9,Sold,17836204.91,2024-10-26
135,Maadi,Commercial Office,1,2,421,Developer_2,Sold,23730715.06,2024-07-06
136,6th October City,Studio,5,3,349,Developer_7,Sold,17116017.63,2024-02-27
137,Downtown Cairo,Duplex,3,3,216,Developer_1,Sold,12442393.75,2024-07-15
138,6th October City,Duplex,1,1,241,Developer_8,Sold,11133008.15,2024-07-28
139,New Cairo,Villa,3,3,165,Developer_4,Sold,20590979.05,2024-02-28
140,Nasr City,Villa,5,4,277,Developer_7,Sold,27116206.28,2024-05-24
141,Downtown Cairo,Studio,3,1,127,Developer_8,Sold,7287036.07,2024-01-17
142,New Cairo,Apartment,3,2,93,Developer_9,Sold,4305121.58,2024-11-05
143,Nasr City,Duplex,1,2,475,Developer_6,Sold,16684273.82,2024-11-14
144,6th October City,Apartment,4,3,333,Developer_10,Sold,13995447.76,2024-04-20
145,New Cairo,Apartment,5,1,128,Developer_9,Sold,6277971.65,2024-08-30
146,Downtown Cairo,Studio,1,1,489,Developer_8,Sold,29386091.45,2024-07-02
147,Downtown Cairo,Villa,2,1,355,Developer_10,Sold,41585173.05,2024-01-29
148,Heliopolis,Apartment,3,1,399,Developer_1,Sold,18175530.64,2024-06-27
149,Maadi,Studio,2,3,460,Developer_4,Available,22137487.13,2024-05-20
150,Zayed City,Villa,1,1,308,Developer_4,Sold,38045885.82,2024-08-08
151,Nasr City,Apartment,4,4,379,Developer_4,Sold,14174025.53,2024-12-02
152,Heliopolis,Apartment,5,1,279,Developer_10,Sold,11848296.61,2024-08-24
153,Zayed City,Villa,1,1,386,Developer_7,Sold,37853797.65,2024-11-23
154,Zayed City,Retail Space,4,1,157,Developer_10,Available,11096311.7,2024-10-17
155,New Cairo,Villa,1,2,238,Developer_6,Sold,27857625.0,2024-07-31
156,Zayed City,Commercial Office,4,2,263,Developer_7,Sold,17336619.23,2024-02-04
157,Maadi,Commercial Office,2,1,322,Developer_10,Available,21575794.13,2024-02-04
158,Downtown Cairo,Studio,4,4,490,Developer_2,Available,28431484.25,2024-07-05
159,Heliopolis,Studio,5,2,478,Developer_8,Sold,20739254.65,2024-08-03
160,Zayed City,Duplex,2,3,85,Developer_7,Sold,4024779.0,2024-07-31
161,New Cairo,Commercial Office,3,1,207,Developer_8,Available,15077522.13,2024-10-20
162,Maadi,Villa,2,4,401,Developer_3,Sold,43515251.6,2024-05-03
163,6th October City,Commercial Office,2,4,73,Developer_3,Sold,4531159.65,2024-12-23
164,Downtown Cairo,Retail Space,3,3,307,Developer_5,Sold,29442901.42,2024-05-30
165,Downtown Cairo,Studio,2,3,407,Developer_3,Available,22221899.4,2024-06-18
166,Heliopolis,Retail Space,2,4,225,Developer_1,Sold,14798954.26,2024-04-30
167,Downtown Cairo,Studio,3,2,184,Developer_5,Sold,11164227.87,2024-11-12
168,Zayed City,Retail Space,3,2,421,Developer_8,Sold,27809170.28,2024-11-14
169,New Cairo,Studio,5,4,125,Developer_8,Sold,7340204.39,2024-05-05
170,Downtown Cairo,Villa,2,2,112,Developer_8,Sold,14373705.56,2024-05-07
171,Downtown Cairo,Retail Space,2,1,359,Developer_5,Sold,36862097.91,2024-05-02
172,6th October City,Apartment,2,3,245,Developer_4,Sold,11547433.75,2024-01-23
173,6th October City,Studio,5,3,282,Developer_9,Sold,12936456.46,2024-06-04
174,Nasr City,Commercial Office,2,2,102,Developer_8,Sold,6271284.2,2024-05-24
175,Maadi,Apartment,3,2,420,Developer_4,Sold,18606525.54,2024-01-20
176,Zayed City,Commercial Office,3,1,371,Developer_9,Sold,28311218.8,2024-11-22
177,Downtown Cairo,Studio,3,1,471,Developer_9,Sold,31381679.2,2024-07-26
178,Downtown Cairo,Villa,3,4,207,Developer_10,Sold,27658571.25,2024-05-06
179,New Cairo,Apartment,4,2,53,Developer_9,Sold,2753460.23,2024-04-29
180,Nasr City,Apartment,3,2,69,Developer_6,Available,2625628.75,2024-05-22
181,Maadi,Studio,5,2,107,Developer_4,Sold,4244330.24,2024-02-11
182,Nasr City,Retail Space,4,3,470,Developer_7,Available,31372553.98,2024-06-04
183,Heliopolis,Studio,2,1,399,Developer_1,Sold,18464023.43,2024-05-17
184,Maadi,Studio,3,3,148,Developer_4,Available,6559179.45,2024-11-28
185,Downtown Cairo,Duplex,2,2,379,Developer_5,Available,23148770.45,2024-10-25
186,Downtown Cairo,Villa,3,4,62,Developer_7,Sold,9123364.78,2024-04-12
187,Maadi,Retail Space,3,1,53,Developer_3,Sold,3877697.41,2024-09-26
188,Downtown Cairo,Villa,4,2,327,Developer_10,Sold,47219430.72,2024-05-16
189,Zayed City,Studio,3,3,156,Developer_10,Sold,7803419.09,2024-09-06
190,Maadi,Duplex,3,1,380,Developer_2,Available,18184683.27,2024-03-11
191,Nasr City,Studio,1,1,342,Developer_6,Available,12790400.98,2024-12-26
192,Maadi,Studio,5,2,176,Developer_7,Sold,8255573.85,2024-06-11
193,Downtown Cairo,Villa,5,4,175,Developer_5,Available,21825299.96,2024-09-29
194,Zayed City,Duplex,2,2,191,Developer_9,Sold,10330328.33,2024-12-25
195,Zayed City,Villa,2,3,187,Developer_7,Sold,19645279.36,2024-01-29
196,Heliopolis,Studio,4,3,457,Developer_5,Available,19184703.24,2024-07-15
197,Nasr City,Commercial Office,2,3,80,Developer_5,Available,4802669.83,2024-09-21
198,6th October City,Apartment,1,4,427,Developer_7,Sold,21617645.91,2024-08-15
199,6th October City,Retail Space,2,1,334,Developer_4,Sold,22073624.4,2024-01-16
200,Maadi,Studio,3,2,234,Developer_2,Sold,10126561.13,2024-10-25
201,Heliopolis,Retail Space,2,1,416,Developer_9,Sold,22834120.33,2024-10-16
202,New Cairo,Duplex,2,1,492,Developer_10,Available,27310638.05,2024-03-04
203,Maadi,Commercial Office,3,1,179,Developer_1,Available,10297981.45,2024-11-13
204,Heliopolis,Retail Space,1,1,74,Developer_2,Sold,4714699.05,2024-08-16
205,Nasr City,Retail Space,5,4,199,Developer_5,Sold,11651169.44,2024-05-30
206,Nasr City,Duplex,1,3,304,Developer_8,Sold,11209427.58,2024-08-01
207,Nasr City,Studio,1,3,434,Developer_3,Available,16521238.99,2024-12-13
208,Nasr City,Studio,4,4,57,Developer_7,Sold,1966024.33,2024-12-11
209,Nasr City,Apartment,4,4,421,Developer_2,Available,18239967.75,2024-11-18
210,Heliopolis,Duplex,3,2,474,Developer_6,Sold,17947084.93,2024-02-11
211,Heliopolis,Commercial Office,4,4,280,Developer_7,Sold,15677017.9,2024-07-31
212,Zayed City,Apartment,5,2,371,Developer_8,Available,18231345.26,2024-01-31
213,6th October City,Duplex,3,2,277,Developer_6,Sold,13765325.0,2024-12-14
214,Downtown Cairo,Studio,4,4,442,Developer_9,Sold,27783586.49,2024-07-03
215,Nasr City,Apartment,2,3,486,Developer_2,Sold,19384967.27,2024-02-13
216,New Cairo,Studio,4,4,77,Developer_9,Sold,3864754.1,2024-09-06
217,Downtown Cairo,Villa,5,1,440,Developer_2,Sold,53146024.75,2024-12-22
218,Heliopolis,Villa,4,1,496,Developer_8,Sold,44005871.76,2024-05-06
219,New Cairo,Apartment,3,1,255,Developer_3,Sold,14222863.26,2024-04-17
220,New Cairo,Apartment,2,2,415,Developer_2,Sold,23268638.35,2024-03-12
221,New Cairo,Duplex,3,2,410,Developer_2,Available,20182189.49,2024-06-08
222,Zayed City,Commercial Office,2,1,81,Developer_10,Available,5610760.15,2024-10-02
223,Heliopolis,Commercial Office,2,1,306,Developer_4,Sold,19575366.36,2024-12-14
224,New Cairo,Villa,5,4,456,Developer_3,Sold,51595612.5,2024-02-06
225,Nasr City,Villa,1,4,60,Developer_4,Sold,5998624.42,2024-10-06
226,Maadi,Villa,5,4,273,Developer_10,Sold,28330161.92,2024-08-05
227,New Cairo,Studio,1,4,360,Developer_3,Available,17267040.19,2024-11-01
228,Zayed City,Commercial Office,1,2,291,Developer_8,Sold,19388398.71,2024-04-11
229,Downtown Cairo,Apartment,5,3,73,Developer_9,Sold,3825287.7,2024-11-16
230,Heliopolis,Villa,4,4,106,Developer_6,Sold,8975644.46,2024-12-13
231,Zayed City,Retail Space,5,2,118,Developer_8,Available,8649518.19,2024-02-14
232,New Cairo,Duplex,3,2,148,Developer_8,Sold,7619398.01,2024-03-13
233,Heliopolis,Apartment,3,4,111,Developer_7,Sold,4791145.33,2024-10-24
234,Maadi,Apartment,3,1,390,Developer_10,Sold,18352698.6,2024-11-02
235,New Cairo,Apartment,3,1,261,Developer_5,Sold,12076441.06,2024-05-08
236,Zayed City,Commercial Office,1,1,143,Developer_5,Sold,8943550.33,2024-06-09
237,6th October City,Villa,1,2,391,Developer_7,Sold,38076917.39,2024-12-14
238,Nasr City,Duplex,5,1,123,Developer_9,Available,5212892.85,2024-12-09
239,Downtown Cairo,Studio,2,2,254,Developer_3,Sold,15372403.66,2024-08-08
240,Zayed City,Duplex,2,3,107,Developer_6,Sold,5345072.16,2024-12-25
241,Heliopolis,Duplex,1,4,405,Developer_6,Sold,15335069.23,2024-09-03
242,New Cairo,Retail Space,4,2,445,Developer_3,Sold,38282076.36,2024-05-04
243,Nasr City,Duplex,1,1,248,Developer_5,Sold,9815924.69,2024-03-25
244,New Cairo,Studio,4,4,260,Developer_6,Sold,13209356.71,2024-09-29
245,Heliopolis,Duplex,2,1,158,Developer_2,Sold,6574210.41,2024-07-28
246,New Cairo,Retail Space,1,3,263,Developer_1,Available,23659324.73,2024-11-24
247,6th October City,Duplex,5,1,310,Developer_1,Sold,14444026.88,2024-04-21
248,Nasr City,Villa,3,4,499,Developer_4,Sold,38575878.76,2024-12-14
249,Nasr City,Retail Space,2,1,252,Developer_7,Sold,16357128.34,2024-01-29
250,Heliopolis,Villa,1,3,285,Developer_1,Available,26104435.57,2024-10-09
251,Downtown Cairo,Villa,1,4,54,Developer_7,Sold,7189556.33,2024-09-07
252,6th October City,Apartment,3,3,349,Developer_6,Sold,18734398.28,2024-02-07
253,Zayed City,Retail Space,2,4,182,Developer_7,Sold,13850002.41,2024-09-02
254,New Cairo,Duplex,5,2,249,Developer_4,Available,12760756.27,2024-12-23
255,Maadi,Commercial Office,5,4,372,Developer_7,Available,21738608.18,2024-08-20
256,New Cairo,Commercial Office,5,1,382,Developer_5,Available,25681332.93,2024-12-09
257,New Cairo,Commercial Office,2,4,196,Developer_5,Sold,14651418.14,2024-09-09
258,Zayed City,Studio,5,1,51,Developer_4,Sold,2769693.9,2024-09-19
259,New Cairo,Villa,4,4,307,Developer_2,Sold,39179734.79,2024-11-10
260,6th October City,Villa,1,3,415,Developer_4,Sold,44807166.19,2024-12-06
261,6th October City,Villa,4,1,83,Developer_7,Available,10193008.75,2024-05-21
262,Nasr City,Retail Space,2,1,149,Developer_2,Sold,7812407.66,2024-01-02
263,Heliopolis,Studio,5,1,128,Developer_3,Sold,5566988.16,2024-03-21
264,Downtown Cairo,Duplex,5,1,428,Developer_6,Sold,26302926.18,2024-03-01
265,Maadi,Apartment,5,2,310,Developer_2,Sold,13887623.82,2024-07-06
266,New Cairo,Retail Space,3,3,111,Developer_4,Sold,9105373.12,2024-03-11
267,New Cairo,Villa,3,1,402,Developer_10,Sold,53310485.88,2024-08-03
268,Zayed City,Duplex,5,4,187,Developer_9,Available,9941395.92,2024-12-26
269,Heliopolis,Commercial Office,1,1,141,Developer_4,Available,8080292.99,2024-11-20
270,6th October City,Apartment,3,1,435,Developer_7,Sold,23309224.17,2024-01-31
271,Maadi,Commercial Office,2,3,99,Developer_2,Available,5662570.43,2024-09-15
272,Nasr City,Duplex,5,3,407,Developer_6,Sold,15395729.54,2024-02-17
273,6th October City,Duplex,1,1,253,Developer_5,Available,11946195.57,2024-09-13
274,Heliopolis,Commercial Office,3,2,420,Developer_5,Sold,23670805.84,2024-07-29
275,Downtown Cairo,Retail Space,2,2,161,Developer_9,Sold,14003446.5,2024-12-05
276,Nasr City,Apartment,3,4,303,Developer_4,Sold,12285351.71,2024-06-19
277,Downtown Cairo,Commercial Office,2,4,439,Developer_7,Sold,36644096.49,2024-08-30
278,Zayed City,Commercial Office,5,4,81,Developer_4,Sold,5394665.32,2024-09-17
279,Zayed City,Retail Space,1,4,309,Developer_9,Sold,26432743.38,2024-03-18
280,New Cairo,Commercial Office,4,2,251,Developer_7,Sold,18114227.78,2024-04-02
281,Downtown Cairo,Apartment,3,2,200,Developer_10,Available,10974847.81,2024-01-26
282,Heliopolis,Studio,1,3,293,Developer_7,Sold,12486638.75,2024-05-04
283,Maadi,Apartment,4,3,310,Developer_10,Sold,12087832.93,2024-05-27
284,Nasr City,Retail Space,5,4,315,Developer_5,Sold,18210039.17,2024-04-10
285,6th October City,Commercial Office,2,1,447,Developer_10,Sold,30835699.93,2024-09-17
286,Heliopolis,Villa,5,3,246,Developer_4,Sold,21414166.65,2024-06-11
287,Heliopolis,Villa,1,2,246,Developer_9,Sold,21394074.66,2024-06-23
288,Zayed City,Duplex,1,1,474,Developer_7,Available,21470207.38,2024-02-05
289,Downtown Cairo,Studio,3,3,491,Developer_7,Sold,29646582.83,2024-10-15
290,New Cairo,Retail Space,4,1,103,Developer_3,Sold,9027925.49,2024-05-25
291,New Cairo,Duplex,4,3,95,Developer_1,Sold,5146205.2,2024-04-24
292,Nasr City,Duplex,3,4,123,Developer_6,Available,4955238.22,2024-03-03
293,Zayed City,Villa,5,4,358,Developer_10,Sold,38759537.7,2024-12-05
294,Heliopolis,Apartment,4,1,467,Developer_6,Sold,19486487.13,2024-11-18
295,Maadi,Duplex,5,2,84,Developer_3,Sold,3616961.86,2024-04-07
296,Zayed City,Duplex,2,2,137,Developer_6,Sold,6777032.55,2024-10-13
297,Nasr City,Studio,1,4,269,Developer_8,Available,11420796.9,2024-04-23
298,Nasr City,Villa,2,4,431,Developer_4,Sold,40533441.88,2024-07-16
299,Zayed City,Apartment,3,2,461,Developer_4,Sold,22403473.64,2024-12-22
300,Nasr City,Studio,4,4,453,Developer_4,Sold,17785144.49,2024-06-03
301,Zayed City,Apartment,2,3,246,Developer_6,Sold,12539816.0,2024-01-25
302,6th October City,Apartment,1,4,105,Developer_3,Sold,5299700.11,2024-10-28
303,Zayed City,Duplex,4,1,361,Developer_6,Sold,18452402.96,2024-06-17
304,Downtown Cairo,Studio,5,4,118,Developer_7,Sold,7492680.62,2024-03-01
305,Zayed City,Duplex,4,4,212,Developer_9,Sold,9915828.88,2024-04-02
306,Nasr City,Commercial Office,1,2,185,Developer_4,Sold,10005079.7,2024-01-29
307,Downtown Cairo,Apartment,4,2,271,Developer_10,Sold,14155947.55,2024-11-16
308,Nasr City,Studio,2,1,278,Developer_3,Available,11821276.1,2024-01-24
309,New Cairo,Villa,3,2,419,Developer_7,Sold,51048258.99,2024-09-22
310,New Cairo,Duplex,2,1,271,Developer_2,Sold,13395727.88,2024-05-29
311,Downtown Cairo,Commercial Office,4,3,82,Developer_9,Sold,6654555.98,2024-11-02
312,6th October City,Retail Space,5,2,463,Developer_6,Available,32119234.17,2024-07-11
313,New Cairo,Commercial Office,4,1,210,Developer_9,Sold,15378404.27,2024-03-10
314,Zayed City,Commercial Office,1,4,367,Developer_8,Sold,21515507.93,2024-04-11
315,Nasr City,Duplex,2,1,493,Developer_2,Sold,19452193.54,2024-05-04
316,New Cairo,Villa,2,1,456,Developer_1,Sold,51734764.9,2024-11-10
317,New Cairo,Studio,4,4,396,Developer_8,Available,22349930.91,2024-03-27
318,6th October City,Apartment,3,2,148,Developer_8,Sold,7688335.18,2024-04-28
319,Downtown Cairo,Villa,4,4,361,Developer_10,Sold,51533949.42,2024-07-28
320,Downtown Cairo,Duplex,3,3,476,Developer_4,Available,31145580.02,2024-04-18
321,Heliopolis,Retail Space,4,1,298,Developer_8,Sold,19619366.1,2024-12-20
322,6th October City,Studio,2,4,444,Developer_9,Sold,20080130.79,2024-04-11
323,Zayed City,Apartment,3,3,69,Developer_4,Sold,3442432.42,2024-09-27
324,Downtown Cairo,Retail Space,1,3,270,Developer_4,Sold,22929952.46,2024-11-15
325,Nasr City,Studio,3,2,494,Developer_5,Sold,18967234.01,2024-05-27
326,6th October City,Apartment,5,3,82,Developer_10,Sold,4063859.27,2024-05-03
327,New Cairo,Apartment,1,1,57,Developer_9,Sold,2967891.97,2024-12-18
328,Nasr City,Commercial Office,4,3,413,Developer_8,Sold,23396629.4,2024-09-24
